"name","details"
" Gateway West Loop ","[""$2,015 – $2,447 ---  Studio, 1 bath, 443 sq ft "",""$2,085 – $2,750 ---  Studio, 1 bath, 463 sq ft "",""$1,910 – $2,039 ---  Studio, 1 bath, 399 sq ft "",""$2,955 – $3,698 ---  1 bed, 1 bath, 832 sq ft "",""$2,543 – $3,184 ---  1 bed, 1 bath, 669 sq ft "",""$3,723 – $5,136 ---  2 beds, 2 baths, 1,076 sq ft "",""Call for Rent ---  1 bed, 1 bath, 1,185 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 1,076 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 749 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 714 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 623 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 644 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 747 sq ft Not Available "",""Call for Rent ---  2 beds, 2 baths, 1,185 sq ft Not Available "",""Call for Rent ---  2 beds, 2 baths, 1,063 sq ft Not Available "",""Call for Rent ---  2 beds, 2 baths, 1,231 sq ft Not Available "",""$2,015 – $2,447 ---  Studio, 1 bath, 443 sq ft "",""$2,085 – $2,750 ---  Studio, 1 bath, 463 sq ft "",""$1,910 – $2,039 ---  Studio, 1 bath, 399 sq ft "",""$2,955 – $3,698 ---  1 bed, 1 bath, 832 sq ft "",""$2,543 – $3,184 ---  1 bed, 1 bath, 669 sq ft "",""Call for Rent ---  1 bed, 1 bath, 1,185 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 1,076 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 749 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 714 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 623 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 644 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 747 sq ft Not Available "",""$3,723 – $5,136 ---  2 beds, 2 baths, 1,076 sq ft "",""Call for Rent ---  2 beds, 2 baths, 1,185 sq ft Not Available "",""Call for Rent ---  2 beds, 2 baths, 1,063 sq ft Not Available "",""Call for Rent ---  2 beds, 2 baths, 1,231 sq ft Not Available ""]"
" One Chicago ","[""$3,532 – $4,077 ---  1 bed, 1 bath, 816 sq ft "",""$3,545 – $4,365 ---  1 bed, 1 bath, 929 sq ft "",""$3,712 – $4,592 ---  1 bed, 1 bath, 797 sq ft "",""$3,764 – $4,594 ---  1 bed, 1 bath, 863 sq ft "",""$3,900 – $4,560 ---  1 bed, 1 bath, 873 sq ft "",""$3,999 ---  1 bed, 1 bath, 1,024 sq ft "",""$4,002 – $4,732 ---  1 bed, 1 bath, 953 sq ft "",""$4,107 – $4,697 ---  1 bed, 1 bath, 926 sq ft "",""$4,218 – $4,673 ---  1 bed, 1 bath, 935 sq ft "",""$4,318 – $4,333 ---  1 bed, 1 bath, 1,012 sq ft "",""$4,449 – $5,079 ---  1 bed, 1 bath, 946 sq ft "",""$4,637 – $5,402 ---  1 bed, 1 bath, 1,069 sq ft "",""$2,704 – $3,244 ---  1 bed, 1 bath, 693 sq ft "",""$3,164 – $4,149 ---  1 bed, 1 bath, 885 sq ft "",""$4,577 – $5,382 ---  1 bed, 1 bath, 1,069 sq ft "",""$2,746 – $3,446 ---  1 bed, 1 bath, 612 sq ft "",""$2,895 – $3,775 ---  1 bed, 1 bath, 731 sq ft "",""$4,665 – $5,790 ---  2 beds, 2 baths, 1,096 sq ft "",""$5,110 – $6,010 ---  2 beds, 2 baths, 1,259 sq ft "",""$5,999 – $6,399 ---  2 beds, 2 baths, 1,350 sq ft "",""$7,370 – $7,900 ---  2 beds, 2 baths, 1,553 sq ft "",""$7,405 – $7,435 ---  2 beds, 2 baths, 1,653 sq ft "",""$7,653 – $8,228 ---  2 beds, 2 baths, 1,561 sq ft "",""$7,765 – $9,215 ---  2 beds, 2 baths, 1,746 sq ft "",""$8,048 – $8,943 ---  2 beds, 2 baths, 1,741 sq ft "",""$6,860 – $7,900 ---  2 beds, 2 baths, 1,401 sq ft "",""$10,355 – $11,420 ---  3 beds, 2.5 baths, 2,211 sq ft "",""$10,845 – $11,935 ---  3 beds, 2.5 baths, 2,211 sq ft "",""$2,299 – $2,364 ---  Studio, 1 bath, 525 sq ft Not Available "",""$2,341 – $2,371 ---  Studio, 1 bath, 534 sq ft Not Available "",""$2,393 – $2,453 ---  Studio, 1 bath, 553 sq ft Not Available "",""$2,395 – $2,410 ---  Studio, 1 bath, 603 sq ft Not Available "",""$2,461 ---  Studio, 1 bath, 582 sq ft Not Available "",""$2,507 – $2,537 ---  Studio, 1 bath, 588 sq ft Not Available "",""$2,596 – $2,656 ---  1 bed, 1 bath, 619 sq ft Not Available "",""$2,678 – $3,413 ---  1 bed, 1 bath, 688 sq ft Not Available "",""$2,700 ---  1 bed, 1 bath, 624 sq ft Not Available "",""$2,779 – $2,839 ---  1 bed, 1 bath, 649 sq ft Not Available "",""$2,803 – $3,373 ---  1 bed, 1 bath, 709 sq ft Not Available "",""$2,900 – $3,450 ---  1 bed, 1 bath, 594 sq ft Not Available "",""$2,943 – $3,003 ---  1 bed, 1 bath, 740 sq ft Not Available "",""$2,961 – $2,976 ---  1 bed, 1 bath, 695 sq ft Not Available "",""$3,022 – $3,042 ---  1 bed, 1 bath, 724 sq ft Not Available "",""$3,120 ---  1 bed, 1 bath, 857 sq ft Not Available "",""$3,158 ---  1 bed, 1 bath, 743 sq ft Not Available "",""$3,229 – $3,469 ---  1 bed, 1 bath, 693 sq ft Not Available "",""$3,243 – $3,303 ---  1 bed, 1 bath, 857 sq ft Not Available "",""$3,338 – $3,578 ---  1 bed, 1 bath, 698 sq ft Not Available "",""$3,342 ---  1 bed, 1 bath, 761 sq ft Not Available "",""$3,403 – $4,023 ---  1 bed, 1 bath, 779 sq ft Not Available "",""$3,503 – $3,533 ---  1 bed, 1 bath, 825 sq ft Not Available "",""$3,535 – $4,520 ---  1 bed, 1 bath, 777 sq ft Not Available "",""$3,557 – $3,587 ---  1 bed, 1 bath, 890 sq ft Not Available "",""$3,661 – $4,646 ---  1 bed, 1 bath, 725 sq ft Not Available "",""$3,749 – $3,799 ---  1 bed, 1 bath, 957 sq ft Not Available "",""$3,786 – $3,801 ---  1 bed, 1 bath, 901 sq ft Not Available "",""$3,829 – $4,814 ---  1 bed, 1 bath, 893 sq ft Not Available "",""$3,939 – $3,969 ---  1 bed, 1 bath, 936 sq ft Not Available "",""$4,084 – $4,524 ---  1 bed, 1 bath, 876 sq ft Not Available "",""$4,205 – $4,565 ---  1 bed, 1 bath, 953 sq ft Not Available "",""$4,411 ---  1 bed, 1 bath, 986 sq ft Not Available "",""$5,457 – $5,987 ---  1 bed, 1.5 baths, 1,177 sq ft Not Available "",""$4,346 ---  2 beds, 1 bath, 1,039 sq ft Not Available "",""$4,665 ---  2 beds, 2 baths, 1,187 sq ft Not Available "",""$4,934 ---  2 beds, 2 baths, 1,239 sq ft Not Available "",""$5,099 – $5,199 ---  2 beds, 2 baths, 1,344 sq ft Not Available "",""$5,105 – $5,330 ---  2 beds, 2 baths, 1,092 sq ft Not Available "",""$5,215 – $6,015 ---  2 beds, 2 baths, 1,084 sq ft Not Available "",""$5,640 – $6,615 ---  2 beds, 2 baths, 1,238 sq ft Not Available "",""$5,649 – $5,699 ---  2 beds, 2 baths, 1,353 sq ft Not Available "",""$6,031 ---  2 beds, 2 baths, 1,352 sq ft Not Available "",""$6,325 ---  2 beds, 2 baths, 1,333 sq ft Not Available "",""$7,568 – $8,288 ---  2 beds, 2 baths, 1,599 sq ft Not Available "",""$7,390 – $7,715 ---  3 beds, 2.5 baths, 1,566 sq ft Not Available "",""$3,532 – $4,077 ---  1 bed, 1 bath, 816 sq ft "",""$3,545 – $4,365 ---  1 bed, 1 bath, 929 sq ft "",""$3,712 – $4,592 ---  1 bed, 1 bath, 797 sq ft "",""$3,764 – $4,594 ---  1 bed, 1 bath, 863 sq ft "",""$3,900 – $4,560 ---  1 bed, 1 bath, 873 sq ft "",""$3,999 ---  1 bed, 1 bath, 1,024 sq ft "",""$4,002 – $4,732 ---  1 bed, 1 bath, 953 sq ft "",""$4,107 – $4,697 ---  1 bed, 1 bath, 926 sq ft "",""$4,218 – $4,673 ---  1 bed, 1 bath, 935 sq ft "",""$4,318 – $4,333 ---  1 bed, 1 bath, 1,012 sq ft "",""$4,449 – $5,079 ---  1 bed, 1 bath, 946 sq ft "",""$4,637 – $5,402 ---  1 bed, 1 bath, 1,069 sq ft "",""$2,704 – $3,244 ---  1 bed, 1 bath, 693 sq ft "",""$3,164 – $4,149 ---  1 bed, 1 bath, 885 sq ft "",""$4,577 – $5,382 ---  1 bed, 1 bath, 1,069 sq ft "",""$2,746 – $3,446 ---  1 bed, 1 bath, 612 sq ft "",""$2,895 – $3,775 ---  1 bed, 1 bath, 731 sq ft "",""$2,596 – $2,656 ---  1 bed, 1 bath, 619 sq ft Not Available "",""$2,678 – $3,413 ---  1 bed, 1 bath, 688 sq ft Not Available "",""$2,700 ---  1 bed, 1 bath, 624 sq ft Not Available "",""$2,779 – $2,839 ---  1 bed, 1 bath, 649 sq ft Not Available "",""$2,803 – $3,373 ---  1 bed, 1 bath, 709 sq ft Not Available "",""$2,900 – $3,450 ---  1 bed, 1 bath, 594 sq ft Not Available "",""$2,943 – $3,003 ---  1 bed, 1 bath, 740 sq ft Not Available "",""$2,961 – $2,976 ---  1 bed, 1 bath, 695 sq ft Not Available "",""$3,022 – $3,042 ---  1 bed, 1 bath, 724 sq ft Not Available "",""$3,120 ---  1 bed, 1 bath, 857 sq ft Not Available "",""$3,158 ---  1 bed, 1 bath, 743 sq ft Not Available "",""$3,229 – $3,469 ---  1 bed, 1 bath, 693 sq ft Not Available "",""$3,243 – $3,303 ---  1 bed, 1 bath, 857 sq ft Not Available "",""$3,338 – $3,578 ---  1 bed, 1 bath, 698 sq ft Not Available "",""$3,342 ---  1 bed, 1 bath, 761 sq ft Not Available "",""$3,403 – $4,023 ---  1 bed, 1 bath, 779 sq ft Not Available "",""$3,503 – $3,533 ---  1 bed, 1 bath, 825 sq ft Not Available "",""$3,535 – $4,520 ---  1 bed, 1 bath, 777 sq ft Not Available "",""$3,557 – $3,587 ---  1 bed, 1 bath, 890 sq ft Not Available "",""$3,661 – $4,646 ---  1 bed, 1 bath, 725 sq ft Not Available "",""$3,749 – $3,799 ---  1 bed, 1 bath, 957 sq ft Not Available "",""$3,786 – $3,801 ---  1 bed, 1 bath, 901 sq ft Not Available "",""$3,829 – $4,814 ---  1 bed, 1 bath, 893 sq ft Not Available "",""$3,939 – $3,969 ---  1 bed, 1 bath, 936 sq ft Not Available "",""$4,084 – $4,524 ---  1 bed, 1 bath, 876 sq ft Not Available "",""$4,205 – $4,565 ---  1 bed, 1 bath, 953 sq ft Not Available "",""$4,411 ---  1 bed, 1 bath, 986 sq ft Not Available "",""$5,457 – $5,987 ---  1 bed, 1.5 baths, 1,177 sq ft Not Available "",""$4,665 – $5,790 ---  2 beds, 2 baths, 1,096 sq ft "",""$5,110 – $6,010 ---  2 beds, 2 baths, 1,259 sq ft "",""$5,999 – $6,399 ---  2 beds, 2 baths, 1,350 sq ft "",""$7,370 – $7,900 ---  2 beds, 2 baths, 1,553 sq ft "",""$7,405 – $7,435 ---  2 beds, 2 baths, 1,653 sq ft "",""$7,653 – $8,228 ---  2 beds, 2 baths, 1,561 sq ft "",""$7,765 – $9,215 ---  2 beds, 2 baths, 1,746 sq ft "",""$8,048 – $8,943 ---  2 beds, 2 baths, 1,741 sq ft "",""$6,860 – $7,900 ---  2 beds, 2 baths, 1,401 sq ft "",""$4,346 ---  2 beds, 1 bath, 1,039 sq ft Not Available "",""$4,665 ---  2 beds, 2 baths, 1,187 sq ft Not Available "",""$4,934 ---  2 beds, 2 baths, 1,239 sq ft Not Available "",""$5,099 – $5,199 ---  2 beds, 2 baths, 1,344 sq ft Not Available "",""$5,105 – $5,330 ---  2 beds, 2 baths, 1,092 sq ft Not Available "",""$5,215 – $6,015 ---  2 beds, 2 baths, 1,084 sq ft Not Available "",""$5,640 – $6,615 ---  2 beds, 2 baths, 1,238 sq ft Not Available "",""$5,649 – $5,699 ---  2 beds, 2 baths, 1,353 sq ft Not Available "",""$6,031 ---  2 beds, 2 baths, 1,352 sq ft Not Available "",""$6,325 ---  2 beds, 2 baths, 1,333 sq ft Not Available "",""$7,568 – $8,288 ---  2 beds, 2 baths, 1,599 sq ft Not Available "",""$10,355 – $11,420 ---  3 beds, 2.5 baths, 2,211 sq ft "",""$10,845 – $11,935 ---  3 beds, 2.5 baths, 2,211 sq ft "",""$7,390 – $7,715 ---  3 beds, 2.5 baths, 1,566 sq ft Not Available "",""$2,299 – $2,364 ---  Studio, 1 bath, 525 sq ft Not Available "",""$2,341 – $2,371 ---  Studio, 1 bath, 534 sq ft Not Available "",""$2,393 – $2,453 ---  Studio, 1 bath, 553 sq ft Not Available "",""$2,395 – $2,410 ---  Studio, 1 bath, 603 sq ft Not Available "",""$2,461 ---  Studio, 1 bath, 582 sq ft Not Available "",""$2,507 – $2,537 ---  Studio, 1 bath, 588 sq ft Not Available ""]"
" Lake and Wells ","[""$2,325 – $2,395 ---  Studio, 1 bath, 631 sq ft "",""$2,545 ---  Studio, 1 bath, 874 sq ft "",""$2,555 ---  Studio, 1 bath, 736 sq ft "",""$2,185 – $2,355 ---  Studio, 1 bath, 711 – 793 sq ft "",""$1,855 – $1,895 ---  Studio, 1 bath, 629 sq ft "",""$2,555 ---  1 bed, 1 bath, 784 sq ft "",""$2,570 ---  1 bed, 1 bath, 837 sq ft "",""$2,585 ---  1 bed, 1 bath, 652 sq ft "",""$2,865 ---  1 bed, 1 bath, 888 sq ft "",""$2,995 ---  1 bed, 1 bath, 900 sq ft "",""$2,960 ---  1 bed, 1 bath, 928 sq ft "",""$3,785 – $3,945 ---  2 beds, 2 baths, 1,326 sq ft "",""$2,325 – $2,395 ---  Studio, 1 bath, 631 sq ft "",""$2,545 ---  Studio, 1 bath, 874 sq ft "",""$2,555 ---  Studio, 1 bath, 736 sq ft "",""$2,185 – $2,355 ---  Studio, 1 bath, 711 – 793 sq ft "",""$1,855 – $1,895 ---  Studio, 1 bath, 629 sq ft "",""$2,555 ---  1 bed, 1 bath, 784 sq ft "",""$2,570 ---  1 bed, 1 bath, 837 sq ft "",""$2,585 ---  1 bed, 1 bath, 652 sq ft "",""$2,865 ---  1 bed, 1 bath, 888 sq ft "",""$2,995 ---  1 bed, 1 bath, 900 sq ft "",""$2,960 ---  1 bed, 1 bath, 928 sq ft "",""$3,785 – $3,945 ---  2 beds, 2 baths, 1,326 sq ft ""]"
" North Water Apartments ","[""$2,419 – $2,985 ---  Studio, 1 bath, 651 sq ft "",""$2,712 – $3,275 ---  Studio, 1 bath, 628 sq ft "",""$2,675 – $3,230 ---  Studio, 1 bath, 687 sq ft "",""$2,267 – $2,807 ---  Studio, 1 bath, 550 sq ft "",""$2,896 – $3,108 ---  1 bed, 1 bath, 836 sq ft "",""$3,039 – $3,288 ---  1 bed, 1 bath, 806 sq ft "",""$3,073 – $3,189 ---  1 bed, 1 bath, 813 sq ft "",""$3,476 – $3,567 ---  1 bed, 1 bath, 847 sq ft "",""$3,459 – $3,500 ---  1 bed, 1 bath, 909 sq ft "",""$2,652 – $2,689 ---  1 bed, 1 bath, 761 sq ft "",""$4,187 – $5,691 ---  2 beds, 2 baths, 1,245 sq ft "",""$7,858 – $10,034 ---  2 beds, 2.5 baths, 1,704 sq ft "",""$4,535 – $5,733 ---  2 beds, 2 baths, 1,212 sq ft "",""$6,792 – $6,906 ---  3 beds, 3 baths, 1,616 sq ft "",""$6,952 – $7,066 ---  3 beds, 3 baths, 1,594 sq ft "",""Call for Rent ---  Studio, 1 bath, 644 sq ft Not Available "",""Call for Rent ---  Studio, 1 bath, 656 sq ft Not Available "",""Call for Rent ---  Studio, 1 bath, 664 sq ft Not Available "",""Call for Rent ---  Studio, 1 bath, 678 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 638 – 938 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 645 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 742 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 770 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 773 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 787 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 788 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 813 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 817 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 841 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 878 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 954 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 997 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 1,050 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 745 sq ft Not Available "",""Call for Rent ---  2 beds, 2 baths, 1,184 sq ft Not Available "",""Call for Rent ---  2 beds, 2 baths, 1,281 sq ft Not Available "",""Call for Rent ---  2 beds, 2 baths, 1,350 sq ft Not Available "",""Call for Rent ---  2 beds, 2.5 baths, 1,654 sq ft Not Available "",""Call for Rent ---  3 beds, 3 baths, 1,746 sq ft Not Available "",""Call for Rent ---  3 beds, 3 baths, 1,998 sq ft Not Available "",""Call for Rent ---  3 beds, 2.5 baths, 2,163 sq ft Not Available "",""$2,419 – $2,985 ---  Studio, 1 bath, 651 sq ft "",""$2,712 – $3,275 ---  Studio, 1 bath, 628 sq ft "",""$2,675 – $3,230 ---  Studio, 1 bath, 687 sq ft "",""$2,267 – $2,807 ---  Studio, 1 bath, 550 sq ft "",""Call for Rent ---  Studio, 1 bath, 644 sq ft Not Available "",""Call for Rent ---  Studio, 1 bath, 656 sq ft Not Available "",""Call for Rent ---  Studio, 1 bath, 664 sq ft Not Available "",""Call for Rent ---  Studio, 1 bath, 678 sq ft Not Available "",""$2,896 – $3,108 ---  1 bed, 1 bath, 836 sq ft "",""$3,039 – $3,288 ---  1 bed, 1 bath, 806 sq ft "",""$3,073 – $3,189 ---  1 bed, 1 bath, 813 sq ft "",""$3,476 – $3,567 ---  1 bed, 1 bath, 847 sq ft "",""$3,459 – $3,500 ---  1 bed, 1 bath, 909 sq ft "",""$2,652 – $2,689 ---  1 bed, 1 bath, 761 sq ft "",""Call for Rent ---  1 bed, 1 bath, 638 – 938 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 645 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 742 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 770 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 773 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 787 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 788 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 813 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 817 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 841 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 878 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 954 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 997 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 1,050 sq ft Not Available "",""Call for Rent ---  1 bed, 1 bath, 745 sq ft Not Available "",""$4,187 – $5,691 ---  2 beds, 2 baths, 1,245 sq ft "",""$7,858 – $10,034 ---  2 beds, 2.5 baths, 1,704 sq ft "",""$4,535 – $5,733 ---  2 beds, 2 baths, 1,212 sq ft "",""Call for Rent ---  2 beds, 2 baths, 1,184 sq ft Not Available "",""Call for Rent ---  2 beds, 2 baths, 1,281 sq ft Not Available "",""Call for Rent ---  2 beds, 2 baths, 1,350 sq ft Not Available "",""Call for Rent ---  2 beds, 2.5 baths, 1,654 sq ft Not Available "",""$6,792 – $6,906 ---  3 beds, 3 baths, 1,616 sq ft "",""$6,952 – $7,066 ---  3 beds, 3 baths, 1,594 sq ft "",""Call for Rent ---  3 beds, 3 baths, 1,746 sq ft Not Available "",""Call for Rent ---  3 beds, 3 baths, 1,998 sq ft Not Available "",""Call for Rent ---  3 beds, 2.5 baths, 2,163 sq ft Not Available ""]"
